id,ordtyr,ordlyr,ord2yr,ord3yr,ordhist,sprord,sumord,fallord,winord,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40
914,1,1,0,1,2,0,0,16,16,1,0,1,0,0,0,0,0,1,7,0,0,17,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0
957,1,1,1,1,3,4,16,9,6,1,0,2,0,0,0,0,0,0,4,0,4,5,0,0,0,1,0,0,0,7,0,4,0,0,4,2,1,0,0
1406,0,0,0,0,3,16,11,5,7,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414,1,1,1,1,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1546,1,0,1,1,2,0,12,19,8,0,0,1,0,3,1,0,1,1,3,0,6,7,1,0,2,0,2,0,1,3,0,2,0,0,2,0,0,3,0
1651,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2046,0,1,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2062,1,1,0,1,3,18,57,27,59,3,0,2,1,0,4,0,0,0,1,0,1,0,0,0,5,3,0,0,4,95,4,10,0,0,10,14,3,0,1
2232,1,1,1,1,4,25,3,35,27,0,0,0,0,0,0,0,1,7,12,3,17,0,2,0,0,1,0,0,2,13,2,1,0,1,16,8,4,0,0
2534,1,1,0,1,2,4,0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2623,0,1,1,0,1,0,1,0,14,1,0,1,1,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,1,0,0,4,0,0,0,0,1,0,0
2801,1,0,1,1,2,3,2,4,3,1,1,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3000,0,1,0,1,4,3,7,10,2,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,5,0,0,0,1,0,10,0,0,0,0,2,0,0
3689,0,0,1,0,2,0,13,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,3,0,1,0,0,0,2,1,2,0,1
4308,0,1,1,1,2,6,4,3,2,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
4480,1,1,1,1,3,10,8,6,7,0,0,0,0,1,1,0,0,0,3,0,5,11,0,0,7,1,0,0,0,0,0,0,0,0,2,0,0,0,0
4693,0,1,1,0,3,2,4,8,5,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,1,0,2,1,0,0,0
4847,1,1,1,0,3,9,9,13,3,0,0,0,0,1,0,0,1,0,2,0,5,19,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,1
4871,1,1,0,1,3,0,8,11,13,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,5,0,7,1,0,0,0,0,0,0,0,0,0
5010,0,0,0,1,3,4,11,10,9,1,0,0,0,0,2,0,0,0,10,0,2,5,0,0,0,0,0,0,5,4,1,0,0,0,3,1,0,0,0
